"År","Region","Åldersgrupp","Befolkning"
"2000","Falkenberg","0-19 år",10059
"2000","Falkenberg","20-64 år",21101
"2000","Falkenberg","65-79 år",5378
"2000","Falkenberg","80+ år",2279
"2005","Falkenberg","0-19 år",9897
"2005","Falkenberg","20-64 år",21749
"2005","Falkenberg","65-79 år",5427
"2005","Falkenberg","80+ år",2532
"2010","Falkenberg","0-19 år",9616
"2010","Falkenberg","20-64 år",22513
"2010","Falkenberg","65-79 år",6189
"2010","Falkenberg","80+ år",2690
"2015","Falkenberg","0-19 år",9559
"2015","Falkenberg","20-64 år",23304
"2015","Falkenberg","65-79 år",7282
"2015","Falkenberg","80+ år",2804
"2020","Falkenberg","0-19 år",10484
"2020","Falkenberg","20-64 år",24408
"2020","Falkenberg","65-79 år",8139
"2020","Falkenberg","80+ år",3020
"2025","Falkenberg","0-19 år",10685
"2025","Falkenberg","20-64 år",24420
"2025","Falkenberg","65-79 år",8458
"2025","Falkenberg","80+ år",3770
"2030","Falkenberg","0-19 år",10146.6651943719
"2030","Falkenberg","20-64 år",24779.7847130729
"2030","Falkenberg","65-79 år",8590.46906993426
"2030","Falkenberg","80+ år",4476.34807748332
"2035","Falkenberg","0-19 år",9797.45616099697
"2035","Falkenberg","20-64 år",25034.3563950079
"2035","Falkenberg","65-79 år",9008.57670308772
"2035","Falkenberg","80+ år",4873.04065956822
"2040","Falkenberg","0-19 år",9588.77937068247
"2040","Falkenberg","20-64 år",25432.8748887712
"2040","Falkenberg","65-79 år",9266.35199632783
"2040","Falkenberg","80+ år",5193.50315590888
"2000","Hallands län","0-19 år",70650
"2000","Hallands län","20-64 år",156426
"2000","Hallands län","65-79 år",33961
"2000","Hallands län","80+ år",13967
"2005","Hallands län","0-19 år",72410
"2005","Hallands län","20-64 år",162297
"2005","Hallands län","65-79 år",35450
"2005","Hallands län","80+ år",15711
"2010","Hallands län","0-19 år",72528
"2010","Hallands län","20-64 år",168318
"2010","Hallands län","65-79 år",41901
"2010","Hallands län","80+ år",16737
"2015","Hallands län","0-19 år",73518
"2015","Hallands län","20-64 år",173928
"2015","Hallands län","65-79 år",49861
"2015","Hallands län","80+ år",17477
"2020","Hallands län","0-19 år",80707
"2020","Hallands län","20-64 år",181924
"2020","Hallands län","65-79 år",54302
"2020","Hallands län","80+ år",19815
"2025","Hallands län","0-19 år",80701
"2025","Hallands län","20-64 år",184543
"2025","Hallands län","65-79 år",55576
"2025","Hallands län","80+ år",25246
"2030","Hallands län","0-19 år",76190.9292963197
"2030","Hallands län","20-64 år",186512.071357716
"2030","Hallands län","65-79 år",57147.0221578961
"2030","Hallands län","80+ år",30147.1346842368
"2035","Hallands län","0-19 år",73562.9792053327
"2035","Hallands län","20-64 år",187344.962211
"2035","Hallands län","65-79 år",61343.1520491094
"2035","Hallands län","80+ år",32315.5205732412
"2040","Hallands län","0-19 år",72365.7477303264
"2040","Hallands län","20-64 år",188817.90995928
"2040","Hallands län","65-79 år",64515.9923300599
"2040","Hallands län","80+ år",34165.4873858049
"2000","Halmstad","0-19 år",20263
"2000","Halmstad","20-64 år",49705
"2000","Halmstad","65-79 år",10675
"2000","Halmstad","80+ år",4557
"2005","Halmstad","0-19 år",20540
"2005","Halmstad","20-64 år",51704
"2005","Halmstad","65-79 år",10910
"2005","Halmstad","80+ år",5070
"2010","Halmstad","0-19 år",20634
"2010","Halmstad","20-64 år",53417
"2010","Halmstad","65-79 år",12490
"2010","Halmstad","80+ år",5259
"2015","Halmstad","0-19 år",21444
"2015","Halmstad","20-64 år",55612
"2015","Halmstad","65-79 år",14550
"2015","Halmstad","80+ år",5346
"2020","Halmstad","0-19 år",23937
"2020","Halmstad","20-64 år",58399
"2020","Halmstad","65-79 år",15484
"2020","Halmstad","80+ år",5934
"2025","Halmstad","0-19 år",24224
"2025","Halmstad","20-64 år",59340
"2025","Halmstad","65-79 år",15521
"2025","Halmstad","80+ år",7215
"2030","Halmstad","0-19 år",23376.1326594251
"2030","Halmstad","20-64 år",59848.0385272956
"2030","Halmstad","65-79 år",15919.7612921786
"2030","Halmstad","80+ år",8361.4880443606
"2035","Halmstad","0-19 år",22600.1335298019
"2035","Halmstad","20-64 år",60702.4826290526
"2035","Halmstad","65-79 år",17018.6045420794
"2035","Halmstad","80+ år",8800.49002150639
"2040","Halmstad","0-19 år",22188.7980616792
"2040","Halmstad","20-64 år",61579.9445407094
"2040","Halmstad","65-79 år",17744.6571842275
"2040","Halmstad","80+ år",9226.72949165277
"2000","Hylte","0-19 år",2728
"2000","Hylte","20-64 år",5596
"2000","Hylte","65-79 år",1495
"2000","Hylte","80+ år",660
"2005","Hylte","0-19 år",2670
"2005","Hylte","20-64 år",5588
"2005","Hylte","65-79 år",1416
"2005","Hylte","80+ år",694
"2010","Hylte","0-19 år",2463
"2010","Hylte","20-64 år",5573
"2010","Hylte","65-79 år",1463
"2010","Hylte","80+ år",678
"2015","Hylte","0-19 år",2549
"2015","Hylte","20-64 år",5681
"2015","Hylte","65-79 år",1640
"2015","Hylte","80+ år",644
"2020","Hylte","0-19 år",2711
"2020","Hylte","20-64 år",5533
"2020","Hylte","65-79 år",1708
"2020","Hylte","80+ år",697
"2025","Hylte","0-19 år",2394
"2025","Hylte","20-64 år",5241
"2025","Hylte","65-79 år",1728
"2025","Hylte","80+ år",734
"2030","Hylte","0-19 år",2040.78330374875
"2030","Hylte","20-64 år",5014.17940588236
"2030","Hylte","65-79 år",1723.17417078331
"2030","Hylte","80+ år",801.628012971695
"2035","Hylte","0-19 år",1860.8771545213
"2035","Hylte","20-64 år",4823.42218600309
"2035","Hylte","65-79 år",1776.44625087626
"2035","Hylte","80+ år",843.014185908062
"2040","Hylte","0-19 år",1779.56203711722
"2040","Hylte","20-64 år",4753.41499146842
"2040","Hylte","65-79 år",1749.40024685892
"2040","Hylte","80+ år",886.743354177419
"2000","Kungsbacka","0-19 år",18532
"2000","Kungsbacka","20-64 år",37725
"2000","Kungsbacka","65-79 år",6665
"2000","Kungsbacka","80+ år",2191
"2005","Kungsbacka","0-19 år",20146
"2005","Kungsbacka","20-64 år",39316
"2005","Kungsbacka","65-79 år",7638
"2005","Kungsbacka","80+ år",2717
"2010","Kungsbacka","0-19 år",20978
"2010","Kungsbacka","20-64 år",41026
"2010","Kungsbacka","65-79 år",9827
"2010","Kungsbacka","80+ år",3194
"2015","Kungsbacka","0-19 år",21041
"2015","Kungsbacka","20-64 år",42744
"2015","Kungsbacka","65-79 år",11822
"2015","Kungsbacka","80+ år",3537
"2020","Kungsbacka","0-19 år",22638
"2020","Kungsbacka","20-64 år",45355
"2020","Kungsbacka","65-79 år",12401
"2020","Kungsbacka","80+ år",4536
"2025","Kungsbacka","0-19 år",21861
"2025","Kungsbacka","20-64 år",45923
"2025","Kungsbacka","65-79 år",12363
"2025","Kungsbacka","80+ år",6146
"2030","Kungsbacka","0-19 år",19946.4292208997
"2030","Kungsbacka","20-64 år",46028.9107592763
"2030","Kungsbacka","65-79 år",13127.4907420291
"2030","Kungsbacka","80+ år",7345.68788609243
"2035","Kungsbacka","0-19 år",19026.2050886276
"2035","Kungsbacka","20-64 år",45170.6024961241
"2035","Kungsbacka","65-79 år",14848.6242238738
"2035","Kungsbacka","80+ år",7589.41122785841
"2040","Kungsbacka","0-19 år",18649.4768106289
"2040","Kungsbacka","20-64 år",44613.0223913443
"2040","Kungsbacka","65-79 år",16231.6290372676
"2040","Kungsbacka","80+ år",7914.47231018652
"2000","Laholm","0-19 år",5754
"2000","Laholm","20-64 år",12544
"2000","Laholm","65-79 år",3064
"2000","Laholm","80+ år",1385
"2005","Laholm","0-19 år",5650
"2005","Laholm","20-64 år",12837
"2005","Laholm","65-79 år",3051
"2005","Laholm","80+ år",1499
"2010","Laholm","0-19 år",5294
"2010","Laholm","20-64 år",12989
"2010","Laholm","65-79 år",3601
"2010","Laholm","80+ år",1506
"2015","Laholm","0-19 år",5321
"2015","Laholm","20-64 år",13005
"2015","Laholm","65-79 år",4366
"2015","Laholm","80+ år",1503
"2020","Laholm","0-19 år",5923
"2020","Laholm","20-64 år",13417
"2020","Laholm","65-79 år",4983
"2020","Laholm","80+ år",1644
"2025","Laholm","0-19 år",5912
"2025","Laholm","20-64 år",13442
"2025","Laholm","65-79 år",5056
"2025","Laholm","80+ år",2133
"2030","Laholm","0-19 år",5650.14543469599
"2030","Laholm","20-64 år",13491.9417306614
"2030","Laholm","65-79 år",5044.95726140225
"2030","Laholm","80+ år",2564.79748103156
"2035","Laholm","0-19 år",5478.67427477944
"2035","Laholm","20-64 år",13498.2209494301
"2035","Laholm","65-79 år",5117.46968236398
"2035","Laholm","80+ år",2870.25014780254
"2040","Laholm","0-19 år",5345.81514369924
"2040","Laholm","20-64 år",13604.1958778732
"2040","Laholm","65-79 år",5291.93817398547
"2040","Laholm","80+ år",2974.9753029844
"2000","Riket","0-19 år",2139378
"2000","Riket","20-64 år",5212527
"2000","Riket","65-79 år",1078325
"2000","Riket","80+ år",452562
"2005","Riket","0-19 år",2159156
"2005","Riket","20-64 år",5323219
"2005","Riket","65-79 år",1078214
"2005","Riket","80+ år",487163
"2010","Riket","0-19 år",2183564
"2010","Riket","20-64 år",5494760
"2010","Riket","65-79 år",1240342
"2010","Riket","80+ år",496904
"2015","Riket","0-19 år",2239615
"2015","Riket","20-64 år",5664175
"2015","Riket","65-79 år",1445577
"2015","Riket","80+ år",501650
"2020","Riket","0-19 år",2414374
"2020","Riket","20-64 år",5876835
"2020","Riket","65-79 år",1544366
"2020","Riket","80+ år",543720
"2025","Riket","0-19 år",2379760
"2025","Riket","20-64 år",5990251
"2025","Riket","65-79 år",1551574
"2025","Riket","80+ år",683947
"2030","Riket","0-19 år",2244140
"2030","Riket","20-64 år",5992128
"2030","Riket","65-79 år",1580592
"2030","Riket","80+ år",816962
"2035","Riket","0-19 år",2174805
"2035","Riket","20-64 år",6059652
"2035","Riket","65-79 år",1671733
"2035","Riket","80+ år",870145
"2040","Riket","0-19 år",2153389
"2040","Riket","20-64 år",6127934
"2040","Riket","65-79 år",1745350
"2040","Riket","80+ år",908541
"2000","Varberg","0-19 år",13314
"2000","Varberg","20-64 år",29755
"2000","Varberg","65-79 år",6684
"2000","Varberg","80+ år",2895
"2005","Varberg","0-19 år",13507
"2005","Varberg","20-64 år",31103
"2005","Varberg","65-79 år",7008
"2005","Varberg","80+ år",3199
"2010","Varberg","0-19 år",13543
"2010","Varberg","20-64 år",32800
"2010","Varberg","65-79 år",8331
"2010","Varberg","80+ år",3410
"2015","Varberg","0-19 år",13604
"2015","Varberg","20-64 år",33582
"2015","Varberg","65-79 år",10201
"2015","Varberg","80+ år",3643
"2020","Varberg","0-19 år",15014
"2020","Varberg","20-64 år",34812
"2020","Varberg","65-79 år",11587
"2020","Varberg","80+ år",3984
"2025","Varberg","0-19 år",15617
"2025","Varberg","20-64 år",36180
"2025","Varberg","65-79 år",12425
"2025","Varberg","80+ år",5267
"2030","Varberg","0-19 år",15030.7734831782
"2030","Varberg","20-64 år",37349.2162215272
"2030","Varberg","65-79 år",12741.1696215687
"2030","Varberg","80+ år",6597.18518229723
"2035","Varberg","0-19 år",14799.6329966055
"2035","Varberg","20-64 år",38115.8775553822
"2035","Varberg","65-79 år",13573.4306468283
"2035","Varberg","80+ år",7339.31433059763
"2040","Varberg","0-19 år",14813.3163065194
"2040","Varberg","20-64 år",38834.4572691135
"2040","Varberg","65-79 år",14232.0156913926
"2040","Varberg","80+ år",7969.06377089493
